shipment_id,customer_id,driver_id,vehicle_id,route_origin_city,route_origin_country,route_dest_city,route_dest_country,distance_km,region,route_type,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weight_kg,cost_usd,fuel_consumed_liters,weather_condition,temperature_celsius,wind_speed_kmh
22,100,32,2,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2024-01-10T14:30:00,2024-01-10T14:39:00,2024-01-10T20:53:24,2024-01-11T01:59:24,6.24,11.34,306,True,failed,675.62,410.32,141.66,Heavy Rain,14.6,15.6
23,94,11,19,Paris,France,Madrid,Spain,1270,Europe,Road,2024-11-21T12:30:00,2024-11-21T12:47:00,2024-11-22T09:02:00,2024-11-22T12:17:00,20.25,23.5,195,True,delayed,2031.62,2225.92,460.19,Heavy Rain,7.6,33.6
24,35,28,25,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2023-08-28T13:00:00,2023-08-28T13:10:00,2023-08-29T08:07:36,2023-08-29T08:07:36,18.96,18.96,0,False,on_time,633.93,1125.57,386.63,Clear,31.5,73.2
25,44,8,13,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2023-04-30T08:00:00,2023-04-30T08:15:00,2023-04-30T14:15:00,2023-04-30T14:15:00,6.0,6.0,0,False,on_time,122.51,401.51,175.23,Cloudy,15.8,32.8
26,76,27,23,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2023-06-08T12:00:00,2023-06-08T12:08:00,2023-06-08T18:21:48,2023-06-08T18:21:48,6.23,6.23,0,False,on_time,180.38,619.53,167.75,Cloudy,24.3,69.2
27,78,11,29,London,UK,Berlin,Germany,930,Europe,Road,2024-01-12T14:30:00,2024-01-12T14:44:00,2024-01-13T05:46:24,2024-01-13T07:48:12,15.04,17.07,122,True,delayed,1500.31,1577.61,321.71,Snow,1.7,8.8
28,36,41,7,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2023-05-09T18:15:00,2023-05-09T18:21:00,2023-05-10T18:21:36,2023-05-10T18:21:36,24.01,24.01,0,False,on_time,2389.67,1899.95,424.58,Clear,30.5,64.1
29,75,30,1,Barcelona,Spain,Lyon,France,640,Europe,Road,2023-05-29T08:30:00,2023-05-29T08:34:00,2023-05-29T16:11:12,2023-05-29T16:44:12,7.62,8.17,33,True,delayed,285.33,1218.81,182.84,Clear,21.5,18.1
30,51,16,23,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2024-03-07T14:00:00,2024-03-07T14:11:00,2024-03-08T19:19:24,2024-03-08T19:19:24,29.14,29.14,0,False,on_time,2095.36,2654.82,781.38,Clear,33.9,8.3
31,14,12,6,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2024-10-20T06:00:00,2024-10-20T06:13:00,2024-10-20T12:06:24,2024-10-20T12:06:24,5.89,5.89,0,False,on_time,11003.68,952.14,204.82,Clear,16.5,11.1
32,26,20,1,Barcelona,Spain,Lyon,France,640,Europe,Road,2023-05-10T10:30:00,2023-05-10T10:39:00,2023-05-10T19:36:36,2023-05-10T19:36:36,8.96,8.96,0,False,on_time,7235.22,1176.29,169.52,Clear,29.0,69.0
33,50,37,6,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2023-08-09T12:45:00,2023-08-09T12:59:00,2023-08-09T19:06:12,2023-08-09T19:06:12,6.12,6.12,0,False,on_time,6415.81,997.81,157.35,Rain,11.8,24.1
34,25,19,15,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2024-04-30T07:00:00,2024-04-30T07:11:00,2024-05-01T05:54:12,2024-05-01T06:48:12,22.72,23.62,54,True,delayed,3199.99,2342.11,652.28,Rain,14.7,29.7
35,5,49,9,London,UK,Berlin,Germany,930,Europe,Road,2024-11-12T18:45:00,2024-11-12T18:54:00,2024-11-13T05:42:36,2024-11-13T05:42:36,10.81,10.81,0,False,on_time,2439.87,1082.89,313.12,Cloudy,13.2,54.3
36,33,39,23,Paris,France,Madrid,Spain,1270,Europe,Road,2023-12-25T14:30:00,2023-12-25T14:43:00,2023-12-26T10:44:12,2023-12-26T13:39:24,20.02,22.94,175,True,delayed,3418.11,1668.64,473.41,Heavy Rain,11.1,53.2
37,15,14,12,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2024-11-04T17:30:00,2024-11-04T17:40:00,2024-11-06T09:05:48,2024-11-06T10:14:48,39.43,40.58,69,True,delayed,1417.45,2696.49,651.57,Cloudy,19.9,10.2
38,39,30,8,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2024-06-27T09:45:00,2024-06-27T09:56:00,2024-06-28T18:59:36,2024-06-28T18:59:36,33.06,33.06,0,False,on_time,327.36,1852.56,938.91,Clear,26.9,71.3
39,25,37,8,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2024-09-24T06:00:00,2024-09-24T06:15:00,2024-09-25T10:33:36,2024-09-25T10:33:36,28.31,28.31,0,False,on_time,590.3,1517.5,544.91,Clear,25.2,30.9
40,45,32,25,London,UK,Berlin,Germany,930,Europe,Road,2024-11-25T15:45:00,2024-11-25T15:52:00,2024-11-26T04:08:12,2024-11-26T04:08:12,12.27,12.27,0,False,on_time,302.18,758.78,233.57,Clear,21.0,20.8
41,39,29,7,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2023-10-24T11:00:00,2023-10-24T11:05:00,2023-10-25T19:07:24,2023-10-25T19:07:24,32.04,32.04,0,False,on_time,565.45,2331.09,549.12,Rain,14.7,55.1
42,60,28,25,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2023-02-13T12:00:00,2023-02-13T12:18:00,2023-02-14T08:29:24,2023-02-14T09:39:36,20.19,21.36,70,True,delayed,323.88,1169.21,515.57,Clear,20.8,35.4
43,21,6,27,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2024-09-24T13:30:00,2024-09-24T13:37:00,2024-09-25T13:24:24,2024-09-25T13:24:24,23.79,23.79,0,False,on_time,1755.59,1752.4,390.08,Clear,32.4,60.9
44,53,13,18,Paris,France,Madrid,Spain,1270,Europe,Road,2023-06-22T07:00:00,2023-06-22T07:11:00,2023-06-22T23:54:48,2023-06-23T01:08:36,16.73,17.96,74,True,delayed,11590.01,2431.82,472.76,Clear,19.7,16.0
45,16,22,22,Paris,France,Madrid,Spain,1270,Europe,Road,2023-06-06T18:00:00,2023-06-06T18:15:00,2023-06-07T13:41:24,2023-06-07T13:41:24,19.44,19.44,0,False,on_time,7429.64,2315.14,427.89,Clear,28.6,71.2
46,60,44,16,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-10-04T11:15:00,2024-10-04T11:35:00,2024-10-04T20:19:24,2024-10-04T20:19:24,8.74,8.74,0,False,on_time,1266.25,733.39,165.39,Clear,25.1,28.3
47,47,8,12,Istanbul,Turkey,Athens,Greece,680,Europe,Road,2024-01-13T10:00:00,2024-01-13T10:02:00,2024-01-13T18:36:12,2024-01-13T18:36:12,8.57,8.57,0,False,on_time,2445.83,817.15,217.2,Clear,26.1,64.4
48,4,28,30,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2024-08-08T16:15:00,2024-08-08T16:19:00,2024-08-10T02:46:36,2024-08-10T02:46:36,34.46,34.46,0,False,on_time,3692.03,2851.5,891.95,Cloudy,22.6,78.7
49,13,22,22,London,UK,Berlin,Germany,930,Europe,Road,2023-06-26T06:15:00,2023-06-26T06:31:00,2023-06-26T17:58:00,2023-06-26T17:58:00,11.45,11.45,0,False,on_time,8364.83,1559.75,284.51,Cloudy,14.2,35.7
50,64,29,7,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2023-02-23T18:30:00,2023-02-23T18:39:00,2023-02-24T18:41:24,2023-02-24T20:49:12,24.04,26.17,128,True,delayed,1055.46,1913.72,588.05,Rain,15.2,16.3
51,1,35,26,London,UK,Berlin,Germany,930,Europe,Road,2023-05-25T11:30:00,2023-05-25T11:42:00,2023-05-25T22:09:00,2023-05-25T22:09:00,10.45,10.45,0,False,on_time,167.04,775.07,244.32,Cloudy,18.4,53.3
52,5,30,28,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2024-11-17T17:00:00,2024-11-17T17:00:00,2024-11-18T11:46:12,2024-11-18T13:48:00,18.77,20.8,122,True,delayed,356.76,1115.77,420.37,Rain,19.4,41.5
53,47,6,17,Paris,France,Madrid,Spain,1270,Europe,Road,2023-06-08T07:30:00,2023-06-08T07:47:00,2023-06-08T22:39:48,2023-06-09T06:14:00,14.88,22.45,454,True,failed,3319.33,1640.95,324.69,Snow,-6.0,62.5
54,35,13,13,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2023-06-07T08:15:00,2023-06-07T08:20:00,2023-06-08T07:03:12,2023-06-08T07:03:12,22.72,22.72,0,False,on_time,500.31,1403.09,587.96,Cloudy,20.8,77.7
55,58,43,29,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-04-04T09:15:00,2024-04-04T09:30:00,2024-04-04T18:44:24,2024-04-04T18:44:24,9.24,9.24,0,False,on_time,14351.24,1081.5,225.12,Clear,26.4,38.0
56,94,28,22,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2024-05-29T14:45:00,2024-05-29T15:04:00,2024-05-29T21:01:36,2024-05-29T21:01:36,5.96,5.96,0,False,on_time,2251.37,906.3,183.47,Rain,18.5,46.6
57,49,44,30,London,UK,Berlin,Germany,930,Europe,Road,2024-06-12T07:30:00,2024-06-12T07:46:00,2024-06-12T22:38:48,2024-06-13T01:04:00,14.88,17.3,145,True,delayed,610.34,1102.04,364.52,Rain,10.7,38.8
58,22,34,21,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2024-02-29T06:45:00,2024-02-29T06:56:00,2024-03-01T02:47:00,2024-03-01T03:36:48,19.85,20.68,50,True,delayed,3622.23,2584.74,394.65,Fog,9.1,30.1
59,80,22,25,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2023-10-21T13:15:00,2023-10-21T13:34:00,2023-10-22T12:53:12,2023-10-22T12:53:12,23.32,23.32,0,False,on_time,53.35,1414.06,556.59,Clear,31.7,46.2
60,8,7,24,Barcelona,Spain,Lyon,France,640,Europe,Road,2023-04-24T18:30:00,2023-04-24T18:43:00,2023-04-25T04:14:48,2023-04-25T05:14:48,9.53,10.53,60,True,delayed,10318.47,1180.3,166.03,Cloudy,22.6,42.5
61,2,11,27,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2024-06-11T15:15:00,2024-06-11T15:15:00,2024-06-11T21:45:00,2024-06-11T21:45:00,6.5,6.5,0,False,on_time,2456.86,603.0,165.62,Clear,28.3,11.4
62,81,2,25,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2024-06-22T14:00:00,2024-06-22T14:20:00,2024-06-23T11:06:48,2024-06-23T11:06:48,20.78,20.78,0,False,on_time,296.83,1161.8,539.53,Clear,22.1,10.1
63,28,41,22,Paris,France,Madrid,Spain,1270,Europe,Road,2024-10-05T07:30:00,2024-10-05T07:50:00,2024-10-06T03:40:24,2024-10-06T05:36:12,19.84,21.77,116,True,delayed,2834.97,2413.62,406.01,Rain,16.3,52.4
64,67,30,1,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2024-04-13T06:30:00,2024-04-13T06:31:00,2024-04-14T11:44:12,2024-04-14T11:44:12,29.22,29.22,0,False,on_time,5047.9,3342.04,597.79,Clear,31.3,40.5
65,36,19,13,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2023-07-15T10:30:00,2023-07-15T10:38:00,2023-07-16T14:35:00,2023-07-16T16:29:00,27.95,29.85,114,True,delayed,127.72,1869.32,920.22,Rain,16.9,72.1
66,70,48,29,Amsterdam,NL,Warsaw,Poland,1150,Europe,Road,2023-07-11T13:45:00,2023-07-11T13:53:00,2023-07-12T06:04:24,2023-07-12T06:04:24,16.19,16.19,0,False,on_time,12724.48,2164.01,301.11,Clear,27.0,66.7
67,44,9,22,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2023-04-16T07:30:00,2023-04-16T07:49:00,2023-04-16T14:27:24,2023-04-16T14:27:24,6.64,6.64,0,False,on_time,11465.15,890.4,167.79,Clear,23.9,59.5
68,97,33,22,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2024-03-21T10:00:00,2024-03-21T10:11:00,2024-03-22T10:07:24,2024-03-22T10:07:24,23.94,23.94,0,False,on_time,8211.15,2816.05,408.26,Cloudy,10.5,68.7
69,77,4,3,Istanbul,Turkey,Athens,Greece,680,Europe,Road,2023-03-10T09:30:00,2023-03-10T09:31:00,2023-03-10T19:07:00,2023-03-10T19:07:00,9.6,9.6,0,False,on_time,2369.93,845.22,266.78,Clear,22.4,62.2
70,2,26,6,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-01-11T12:30:00,2024-01-11T12:33:00,2024-01-11T20:36:00,2024-01-11T20:36:00,8.05,8.05,0,False,on_time,463.71,1079.67,209.7,Clear,33.3,13.8
71,9,16,30,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2023-08-08T15:30:00,2023-08-08T15:36:00,2023-08-08T22:09:36,2023-08-08T22:09:36,6.56,6.56,0,False,on_time,516.37,680.88,168.44,Rain,18.8,38.4
72,42,35,17,London,UK,Berlin,Germany,930,Europe,Road,2023-11-24T16:30:00,2023-11-24T16:39:00,2023-11-25T04:05:24,2023-11-25T04:05:24,11.44,11.44,0,False,on_time,3539.39,1194.42,331.8,Rain,19.1,52.8
73,88,3,6,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2023-05-05T09:15:00,2023-05-05T09:26:00,2023-05-06T07:38:00,2023-05-06T07:38:00,22.2,22.2,0,False,on_time,8895.06,2611.68,552.12,Cloudy,18.3,50.9
74,44,45,30,London,UK,Berlin,Germany,930,Europe,Road,2024-02-12T17:45:00,2024-02-12T18:03:00,2024-02-13T06:19:12,2024-02-13T06:19:12,12.27,12.27,0,False,on_time,330.46,1221.44,322.11,Clear,24.0,56.0
75,76,41,28,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2024-07-18T16:15:00,2024-07-18T16:16:00,2024-07-19T10:12:24,2024-07-19T11:46:36,17.94,19.51,94,True,delayed,753.36,1196.32,440.47,Clear,18.2,75.1
76,69,24,30,Paris,France,Madrid,Spain,1270,Europe,Road,2024-06-15T10:00:00,2024-06-15T10:17:00,2024-06-16T05:05:36,2024-06-16T05:05:36,18.81,18.81,0,False,on_time,1093.68,1562.11,434.55,Clear,16.9,53.1
77,46,12,15,Barcelona,Spain,Lyon,France,640,Europe,Road,2023-06-07T08:30:00,2023-06-07T08:30:00,2023-06-07T16:00:36,2023-06-07T16:00:36,7.51,7.51,0,False,on_time,365.18,836.9,234.02,Fog,4.6,20.8
78,70,12,23,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-10-16T06:45:00,2024-10-16T07:05:00,2024-10-16T14:27:48,2024-10-16T14:27:48,7.38,7.38,0,False,on_time,3862.44,765.38,237.25,Cloudy,20.3,27.3
79,25,47,24,London,UK,Berlin,Germany,930,Europe,Road,2023-06-11T13:45:00,2023-06-11T13:55:00,2023-06-12T02:23:48,2023-06-12T03:29:48,12.48,13.58,66,True,delayed,13894.75,1613.51,370.33,Rain,12.1,34.9
80,52,40,28,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2023-04-19T11:15:00,2023-04-19T11:19:00,2023-04-20T07:27:24,2023-04-20T08:28:36,20.14,21.16,61,True,delayed,131.9,1141.99,458.36,Cloudy,19.2,23.6
81,21,43,1,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2024-08-14T17:30:00,2024-08-14T17:44:00,2024-08-15T23:06:48,2024-08-16T01:47:36,29.38,32.06,161,True,delayed,7948.56,3340.97,489.21,Rain,19.3,42.9
82,9,22,6,Paris,France,Madrid,Spain,1270,Europe,Road,2023-12-28T06:00:00,2023-12-28T06:20:00,2023-12-29T00:53:36,2023-12-29T00:53:36,18.56,18.56,0,False,on_time,10786.93,2188.04,319.06,Clear,17.1,15.0
83,43,45,4,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2024-02-17T11:00:00,2024-02-17T11:06:00,2024-02-17T18:27:36,2024-02-17T18:27:36,7.36,7.36,0,False,on_time,1530.11,609.11,163.21,Rain,13.4,46.2
84,93,36,3,Barcelona,Spain,Lyon,France,640,Europe,Road,2023-05-02T08:00:00,2023-05-02T08:10:00,2023-05-02T17:04:36,2023-05-02T17:04:36,8.91,8.91,0,False,on_time,2188.73,747.36,173.85,Rain,15.2,35.1
85,67,43,13,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2023-05-21T17:30:00,2023-05-21T17:34:00,2023-05-22T22:05:48,2023-05-22T22:05:48,28.53,28.53,0,False,on_time,428.55,1925.95,718.07,Clear,27.3,17.2
86,20,49,24,Barcelona,Spain,Lyon,France,640,Europe,Road,2023-11-03T15:30:00,2023-11-03T15:45:00,2023-11-04T00:15:36,2023-11-04T00:15:36,8.51,8.51,0,False,on_time,11440.02,1105.87,238.31,Rain,12.4,55.5
87,69,4,26,Amsterdam,NL,Warsaw,Poland,1150,Europe,Road,2024-12-05T16:00:00,2024-12-05T16:18:00,2024-12-06T07:03:36,2024-12-06T08:56:24,14.76,16.64,113,True,delayed,574.26,960.74,388.16,Cloudy,12.6,52.2
88,35,4,7,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-01-25T08:15:00,2024-01-25T08:18:00,2024-01-25T18:48:00,2024-01-25T18:48:00,10.5,10.5,0,False,on_time,811.23,758.94,200.2,Rain,13.0,20.3
89,11,27,7,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2024-04-27T17:00:00,2024-04-27T17:17:00,2024-04-27T23:48:48,2024-04-27T23:48:48,6.53,6.53,0,False,on_time,1346.95,656.64,174.28,Rain,11.8,18.0
90,14,35,27,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2023-12-29T16:30:00,2023-12-29T16:37:00,2023-12-29T23:23:12,2023-12-29T23:23:12,6.77,6.77,0,False,on_time,1142.25,610.37,207.35,Clear,34.6,62.8
91,73,2,14,Paris,France,Madrid,Spain,1270,Europe,Road,2024-05-15T11:45:00,2024-05-15T11:53:00,2024-05-16T05:54:12,2024-05-16T05:54:12,18.02,18.02,0,False,on_time,4650.14,2319.59,420.98,Rain,18.7,34.6
92,2,39,17,Cairo,Egypt,Riyadh,KSA,1490,Middle East,Road,2023-05-30T10:00:00,2023-05-30T10:11:00,2023-05-31T07:53:36,2023-05-31T07:53:36,21.71,21.71,0,False,on_time,3667.31,1843.78,539.53,Fog,4.1,67.1
93,21,27,8,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2024-12-13T10:15:00,2024-12-13T10:22:00,2024-12-13T18:44:48,2024-12-13T18:44:48,8.38,8.38,0,False,on_time,265.79,438.4,174.72,Fog,8.4,8.9
94,36,25,25,Amsterdam,NL,Warsaw,Poland,1150,Europe,Road,2024-04-28T07:15:00,2024-04-28T07:20:00,2024-04-29T02:27:12,2024-04-29T02:27:12,19.12,19.12,0,False,on_time,309.61,1000.05,439.02,Clear,24.5,20.0
95,41,48,13,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2024-10-23T06:00:00,2024-10-23T06:01:00,2024-10-23T12:40:36,2024-10-23T12:40:36,6.66,6.66,0,False,on_time,620.22,396.45,202.64,Clear,18.5,74.0
96,59,7,30,Amsterdam,NL,Warsaw,Poland,1150,Europe,Road,2023-07-10T17:30:00,2023-07-10T17:49:00,2023-07-11T07:08:48,2023-07-11T10:04:00,13.33,16.25,175,True,delayed,458.04,1513.31,336.59,Rain,19.9,45.7
97,67,38,15,Istanbul,Turkey,Athens,Greece,680,Europe,Road,2023-05-18T14:45:00,2023-05-18T14:55:00,2023-05-19T00:53:12,2023-05-19T00:53:12,9.97,9.97,0,False,on_time,680.54,809.29,196.24,Heavy Rain,6.9,60.2
98,19,21,14,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2023-07-17T08:45:00,2023-07-17T08:47:00,2023-07-17T15:02:00,2023-07-17T15:02:00,6.25,6.25,0,False,on_time,6457.08,876.8,210.54,Cloudy,17.2,75.2
99,44,29,29,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2023-08-30T13:30:00,2023-08-30T13:48:00,2023-08-31T16:52:48,2023-08-31T16:52:48,27.08,27.08,0,False,on_time,230.92,4452.78,849.4,Clear,16.2,13.9
100,39,48,17,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2024-12-03T14:30:00,2024-12-03T14:39:00,2024-12-03T21:13:12,2024-12-03T21:13:12,6.57,6.57,0,False,on_time,1488.86,600.49,208.61,Clear,24.6,39.1
101,83,23,6,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-12-19T14:45:00,2024-12-19T14:51:00,2024-12-19T22:35:24,2024-12-19T22:35:24,7.74,7.74,0,False,on_time,12213.24,1193.55,217.2,Clear,30.7,44.4
102,54,50,8,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2023-03-21T15:00:00,2023-03-21T15:16:00,2023-03-21T23:50:12,2023-03-21T23:50:12,8.57,8.57,0,False,on_time,229.92,427.11,145.58,Rain,18.3,38.1
103,75,47,15,Paris,France,Madrid,Spain,1270,Europe,Road,2024-05-15T07:45:00,2024-05-15T08:01:00,2024-05-15T23:05:12,2024-05-15T23:05:12,15.07,15.07,0,False,on_time,1662.01,1543.48,423.95,Rain,16.1,28.1
104,71,34,17,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2023-01-04T17:15:00,2023-01-04T17:17:00,2023-01-06T00:18:48,2023-01-06T01:32:36,31.03,32.26,74,True,delayed,2168.55,2626.71,921.92,Clear,34.7,40.4
